,text
0,meu notebook atualizou pro windows 11 ....
1,"a maior idiotice que alguém pode fazer é atualizar o windows recente no pc, atualizei pro 11 assim que lançou e trava em TUDO o que pode imaginar, véi. que ÓDIO! @Windows FAZ ALGUMA COISA"
2,"instalei o windows 11 com um pé atrás pela desconfiança mas além de ser mais bonito e ter resolvido todos os problemas que eu tinha no Windows 10, ele tá fazendo a bateria do meu notebook durar mais

estou completamente rendido"
3,Maldita a hora que eu decidi instalar o Windows 11
4,Quer saber se seu PC vai receber a atualização para o Windows 11? Então se liga nesse vídeo que a gente tira as suas dúvidas: https://t.co/KZ5AEeNTzR #DicaDeFanáticos
5,"@SportsCenterBR #VAR 
Requisitos Mínimos:
i9
16Gb RAM
RTX3080
Windows 11

PC Utilizado:
Pentium 4
2Gb RAM
GT 210
Windows XP"
6,windows 11 parecendo o macOS kkkkk
7,"VAR tá usando Windows 11, só pode"
8,Windows 11 GTA 6 kkkkkk agora sim
9,As 7 principais maneiras de corrigir a discórdia que não abre no Windows 10 e no Windows 11 https://t.co/m8ekNKWWHB
10,"Galera, tá de boa atualizar para o Windows 11?"
11,esse emulador de android do windows 11 tudo de bom
12,Medo de atualizR p windows 11
13,"mano, praq eu inventei de atualizar isso pro windows 11 bixo
puta merda isso aqui virou literalmente uma torradeira"
14,"Notebook Samsung Np550xda-Kv3br Intel Core I3-1115g4 4gb 256gb Ssd Tela 15,6"" Windows 11 - Cinza Chumbo

Por: R$ 2.726,53
ou R$ 2.779,00 em até 10x sem juros

Link Submarino: https://t.co/jd7yiWZZ3l
Link Americanas: https://t.co/3HQXqnGqIS

Cupom NOTESSG200 no site ou APP"
15,obrigado windows 11 vc é muito bom obrigado
16,"https://t.co/cVfMueTnWG

Esse sistema é compativel com o seu PC? alem de ter 1ghz ou com 3htz um dos mais dois nucleos para este novo sistema da microsoft funcionar em seu computador

é a nova Geração Windows (11)🤓"
17,quase duas horas depois para o notebook baixar o mísero Windows 11
18,"Aqui, Odin Pro rodando jogos DE PC usando a emulação de x86 na versão ARM do Windows 11. MUITO impressionante. https://t.co/X19cUDzhMF"
19,atualização de um lenovo ideapad S145 pro windows 11
20,"gente um help, atualizo o note pro windows 11 ?"
21,O setup do windows 11 parece a tela de loading do PS2 quando o disco tava riscado https://t.co/gnifktlfRW
22,Gostei do windows 11
23,fiquei a manhã toda tentando fazer o scanner funcionar direito e descobri que o problema era que simplesmente estou usando o windows 11 🤡
24,"Pra você que usa ou quer instalar o Python no Windows 10 e no 11, aqui um vídeo que fiz de uma das maneiras que achei mais fácil de instalar o Python no PC: https://t.co/pwWtJUhTCR https://t.co/cW6gEkix27"
25,"@vinhalF Ficamos imensamente felizes em saber que está gostando do Windows 11! 🙌 😀

Caso queira se aprofundar mais nos recursos do sistema, não deixe de conferir este artigo: https://t.co/hEz6ryDheL.

Muito sucesso e um grande abraço! ❤️"
26,"@jonassmarques tô baixando o Windows 11 kkkkkkkkkkkkkkkk ele tava travando por falta de atualização msm, agora tá fofinho"
27,Google e Microsoft se unem por apps mais bonitos no Windows 11 e 10 #valeapenaler https://t.co/htGJUjsasn
28,"@jjemendonca tem o que vem com windows 11, pode ser? https://t.co/xuyWuu1GQ5"
29,"[MAIS LIDAS DA SEMANA] A falha estava presente desde testes fechados do sistema e causava lentidões no Windows 11

https://t.co/6yVo5M2m6F"
30,Tinha me acostumado com o negocinho do windows mostrando a temperatura e agora saiu pq atualizei pro 11. :(
31,Como ativar e usar o teclado de toque no Windows 11 https://t.co/4Oqfa8oraP
32,"Cada dia que passa eu odeio mais ter que mexer com TI.
Tem 3 FUCKING HORAS que eu tô tentando instalar o Windows 11 N da PC. Num SSD totalmente formatado e particionado. Placa com TPM ativo.
E sempre dava erro.
Tirei o outro SSD e o HD.
Tentei de novo, deu certo 🤡🤡
3 HORAS!"
33,Vocês gostaram do Windows 11?
34,Alguém sabe como salvar um Dell inspiron i15 série 5000 q virou uma BOSTA podre dps q inventei de mudar pro Windows 11
35,"Minha esposa precisou pesquisar no Google como desligar o Windows 11 
Sinal que não ficou intuitivo não kkkk"
36,windows 11 o tipo de OS que me faz querer ter o wallpaper default em vez do meu próprio
37,@lukaumyuumi WINDOWS 11 parabens ultra viado
38,"Assim como tem as bonecas da Barbie e as profissões, poderiam criar bonecos do @whindersson né?!
Windows Nunes boxeador, Windows do Volley, Windows 11, Windows alpinista..."
39,até que eu gostei do windows 11
40,"@devnic_ @brayann_barbosa Testei o PopOs esses tempos mas tive que trocar pro Fedora pq precisava de secure boot (culpa do windows 11). Fiquei apaixonado pelo PopOs, é muito bem feito. Fedora é okay"
41,"LISTADO DE CPU AMD COMPATIBLE CON WINDOWS 11
https://t.co/BoaB1KFhQt"
42,Windows Terminal ganha visual do Windows 11 e “rodar como admin” por padrão #valeapenaler https://t.co/OVuVNizWGc
43,Eu estou completamente apaixonado e encantado pelo Windows 11
44,o design de centavos do windows 11 ta me causando ansiedade de tão ridículo
45,As 7 principais maneiras de corrigir o Outlook não se conectando ao servidor no Windows 10 e no Windows 11 https://t.co/Scq3QGRbU4
46,👍 on @YouTube: 🐲 Opção Linux ao Windows 11 com KDE Plasma https://t.co/xnoEGjF249
47,windows 11 ficou muito bonitinho
48,👍 on @YouTube: Muito Além do Windows 11 com Deepin Linux https://t.co/EuSUTxLWRa
49,se você joga valorant não atualize pro win 11... Da um problema com o vanguard que simplesmente te OBRIGA a mudar o modo de boot do windows na bios do pc pra funcionar
50,👍 on @YouTube: 💎 Muito Além do Windows 11 - Personalizando o Linux KDE Neon https://t.co/AhycNOGTfC
51,"caralho, cagaram no pau com essa att do windows 11, que interface feia"
52,Windows 11 é bonitinho né
53,gostei da interface do Windows 11
54,atualizei meu pc pra windows 11 e odiei
55,"@Olejenik Sim??? Eu achei completamente burro é desnecessário, talvez faça um mínimo de sentido no Windows 10 (e olha lá) mas no 11?? 💀"
56,"@bahenomarLive @vingadorbrambz Talvez saia dia 31 desse mês, pelo bug da Microsoft Store no Windows 11 Control e outros iriam sair e de fato estão saindo"
57,"PC da @satiejedi voltou! Com NVME e Windows 11😍
Quem perguntou marca e tempo do SSD que Morreu:
Era um Kingston SATA, já tinha 9 anos, foi muito usado e nos últimos 5 anos mais ainda para Edição, morreu pelo uso normal, nada d+, o guerreiro lutou muitas batalhas! nada a reclamar https://t.co/IApNQagwuA"
58,As 8 principais maneiras de corrigir o Bluetooth ausente do Gerenciador de dispositivos no Windows 11 https://t.co/jYKA5PqPJ2
59,Alguém sabe me dizer q o Windows 11 tá bom?
60,Curtindo demais o Windows 11 no Dell G15
61,"Meu pc tá recomendando atualizar para o Windows 11, mas estou com medo, espero ou atualizo? Kkkkkk"
62,Não precisava existir Windows 11. Bastava a Microsoft parar com as atualizações que causam erro de uso disco em 100%. Já me ajudava muito.
63,"@windowsbr , vocês estão enviando questionário para saber minha opinião sobre a versão 10, mas a minha máquina usa Windows 11! :) https://t.co/OuseGPyFMF"
64,nem comentei mas voltei pro windows 10 literalmente dois minutos depois de atualizar pro 11. so porque eh feio
65,Windows 11 está com uma atualização grátis que aumenta a velocidade https://t.co/v9l2nUgZGD https://t.co/kh4NggCGDZ
66,@brpromasterof altera as configurações da barra de tarefas do Windows 11 e deixa o menu a esquerda como no Windows 10 https://t.co/JeNBDjyOUF
67,Aberto até de Madrugada: Protecção contra ransomware no Windows 10 e 11 https://t.co/zBkZtcy6H6
68,"O PC da @satiejedi voltou!!! 
5° série OOOOOON 
E agora com windows 11 e SSD NVME https://t.co/3s8rmsSdhM"
69,Eis que meu PC ressurge das cinzas com Windows 11 e agora com SSD NVME ♥️ https://t.co/BJzk2wPvRq
70,Protecção contra ransomware no Windows 10 e 11 https://t.co/J13ryDtEeS
71,"Rapaz, o Windows 11 tá fazendo o OBS crashar. Vou é voltar pro Windows 10 mesmo. 

Inclusive, gente! Tô resolvendo as coisas para voltar com as lives. Ontem fizemos algumas atualizações no cenário é na facecam. Aguardem!"
72,As 3 principais correções para o Windows 11 travado no modo de segurança https://t.co/a8fJ1HQVW5
73,numa relação de amor e ódio com o Windows 11
74,Achando o Windows 11 esquisito demais
75,Windows 11 prepara-se para ser a melhor versão de sempre! https://t.co/BqJU7PJ8yP https://t.co/Urus3p3g7B
76,atualizar o windows 10 pro 11 consumiu só 30 gb de memória
77,Atualizei meu note para Windows 11 e agora tô perdida nessa interface 🤡
78,@cpratatv Só no Windows 11 que já exige TPM 2.0. Se for teu caso pode valer a pena voltar pro 10
79,atualizei pra windows 11 e to muito perdida ainda
80,"@xRenanferraz @PastorXbox Xbox tá windows 11 desde agosto mesmo confirmado:
Build 10.0.22000.
Última build com windows 10 no Xbox foi 19041 https://t.co/ETjzA62vi6"
81,@xRenanferraz @PastorXbox No windows o 11 começou em 22000
82,@gtotoro_ Obrigado por mostrar que não devo correr atrás de Windows 11 agora. Eu parei de usar NDI já tem um tempo. Mas vê com o @EposVox que ele manja.
83,"@edergsv @PastorXbox A versão do shell tá explicando, antes tava 2201 e agora tá 2203, última atualização com Windows 10 pode ser essa e semana que vem podemos ter o Windows 11 oficial, ou na outra semana!"
84,chegou e detestei o windows 11 https://t.co/mOTMuzgCyI
85,"@Helianthus_11 Porque não arranjas um diário encriptado para escreveres sobre o que te chateia? Não conheço nada do género para Windows, mas não custa nada dar uma vista de olhos"
86,"@edergsv @PastorXbox Essa versão mesma, só que o Windows 11 começou no 22510 no pc e no Xbox foi 22547!"
87,Olha eu querendo voltar pro Windows 11 de novo pra ver se corrigiram os bugs que estavam rolando
88,"burrão eu indo instalar o Windows 11 pelo Windows Uptade, pô era só baixar a assistente direto do site que é bem mais rápido."
89,"Se fuder esse windows 11, merda caralho trava mais do que eu tentando explicar jm projeto"
90,espirrei 7 vezes o meu corpo ta a atualizar para o windows 11
91,"Vou fazer a loucura agora, atualizar meu pc pro windows 11"
92,@DoberManiaco @ZUNCHO67 @TinyPanthera @zerzura_sp Curso de Windows 11 https://t.co/qfPUUyzuvJ
93,"[MAIS LIDAS DA SEMANA] Não quer esperar o lançamento do suporte oficial dos apps Android no Windows 11? Veja como já utilizar a função atualmente!

https://t.co/NEmaWLnw5m"
94,"@gtotoro_ Eu uso APU amd, logo quero distância do Windows 11 kkk"
95,@gtotoro_ Você usar Windows 11 para trabalhar é muito masoquismo !!!
96,A microsoft nao dando suporte pra minha cpu pra instalar o windows 11 eu chamo de livramento
97,@osuconue Não falaram nada de muito bom desse windows 11
98,E vamos de Windows 11
99,@RnsPNG Eu só coloquei o windows no modo escuro e o word foi junto (windows 11)
100,"Amigos Streamers que foram idiotas e atualizaram pro Windows 11: Alguém mais passou a ter muito mais problema com o OBS depois que instalou o Windows 11? o meu crasha frequentamente, tem problemas de reconhecer os jogos de captura também. Eu uso NDI ainda pra complicar mais."
101,"gnt alguém pode me ajudar????

1 mês atrás meu pc atualizou pra windows 11 normal, ok. hoje eu fui ligar como normalmen simplesmente voltou pro windows de fábrica, 100% formatado, sem nada meu nele. eu tô desesperada, alguém?"
102,Galera vocês preferem Windows 10 ou 11?
103,"@Lzz_Henrique @lutcodes Tem um app pra windows q adiciona isso, o power toys.
Mt coisa eles incluiram no win 11, n sei se isso é nativo agr"
104,"Oxente, o windows 11 tá barrando o uTorrent?"
105,"@xRenanferraz @PastorXbox Chefe, é disso aqui q vc tá falando?
Isso não é ""versão windows 10""
É build 10.0.22549.1500
Que é windows 11

Windows 11 começou na build 10.0.22000 https://t.co/dCA6dlHkGK"
106,"QUe bug CHATO do caralho esse do Windows 11 quando vc da alt+tab e ele altera a porra do brilho da tela, VTNC MERMAO"
107,vale a pena atualizar do windows 10 pro 11?
108,"@marselo_muniz Olá, Marselo! ✌️

Que bom que gostou do Windows 11. 😊
Com recursos de desempenho, velocidade e produtividade de classe mundial, o Microsoft Edge foi projetado para ajudar você a fazer mais. Veja algumas dicas nesse link do suporte Microsoft: https://t.co/6CpDsF5ukL."
109,"@cyntwave Olá, tudo bem?

Que legal que está gostando da interface do Windows 11! Sabia que há várias funções novas que foram implementadas com essa atualização?

Aqui está um boletim de atualização com várias dicas: https://t.co/UNEmSDv2WW.

Conte sempre conosco! 😉"
110,Mas porque é que os computadores decidiram todos atualizar para o Windows 11 em pleno MERCÚRIO RETRÓGRADO!
111,Acho que o meu ssd está a decidir desistir da vida depois ter atualizado para o Windows 11
112,"@PastorXbox @xRenanferraz UI já é outra conversa
Pode mudar o sistema 100% pra windows 11 sem mudar uma linha da UI."
113,po vcs já estão usando o windows 11 com tudo show?
114,"@xRenanferraz @PastorXbox Ou no Xbox simplesmente marca errado 🤔

Ou é o kernel do windows 11 apenas 

Sei lá kkkkk"
115,"@edergsv @PastorXbox Não custa tentar, se responder q tá com Windows 11, significa que é lá mesmo, mano!"
116,"@xRenanferraz @PastorXbox Ela é líder de um time de dev Xbox, a resposta dela é bem clara, a base do Xbox é windows 11 desde agosto.
Eu não sei pq essa diferença. Será que ela responde se perguntar? Chegar em casa tiro uma foto no meu e pergunto."
117,"@denielbraitow @Caixa @govbr @MinEconomia esse erro Java JDK (versão 5) é velho (Windows XP), o erro tem anos, muita gente reclama dele na internet, hoje o JDK do Java  está versão do Java JDK 17 (Windows 11)"
118,@xRenanferraz @PastorXbox Tomara que venha a Nova dashboard no Windows 11 pra nos testar
119,"@JuninhoTinte @PastorXbox Então, a gente vai receber provavelmente na segunda feira, eu vi tds os ciclos recebendo a mesma atualização, pra nós tá desse jeito: Versão atual do sistema operacional Windows (XBFLT2208NI) pode conferir ai, é basicamente uma prévia do Windows 11, só q não nativamente ativada."
120,pq q eu atualizei meu windows pro 11 mds
121,"Gente, to me planejando pra ir atrás de um SSD novo pro PC. O atual já não cabe mais o windows junto do editor de vídeo. UEHEUHEU
Qual destes dois abaixo é mais negócio ir atrás?
https://t.co/Lc2KtcHwU1
 ou 
https://t.co/JGngzmhD9K"
122,"@edergsv @PastorXbox Não, ainda é Windows 10 pra todo mundo, daqui a pouco vou receber o Windows 11 e falo pra vcs se tá legal e queria saber se tem mais alguma pessoa no Alpha Skip Ahead além de mim!"
123,"estive pensando em atualizar pro windows 11 dps q eu tiver 8gb de ram, mas talvez n"
124,@xRenanferraz @PastorXbox Mas aquela dev do Xbox q tá sempre no twitter disse que já eh windows 11 desde o ano passado
125,A interface do windows 11 ta linda 🥺
126,"alguém sabe me dizer se:
se eu atualizar meu computador pro windows 11, eu perco alguma coisa? meus documentos?"
127,"- Porque não consigo usar o Java nos browsers?
- Como instalar o Windows 11 no PC?
- As licenças do Windows 11 são 100% genuínas e legais?
- Qual a melhor marca de smartwatches?
- Porque será que é tão lenta a minha impressora?

Veja as respostas 👇👇👇
https://t.co/clZ6OfH9k2"
128,Se Inscreva no Canal: https://t.co/03R9cdiTcQ Gostei deste Vídeo no Youtube: WINDOWS 11! Vale a pena atualizar em 2022? https://t.co/qr6qxm49Vp
129,"Duo Video Converter: convertidor de vídeo gratuito para Windows 10 y 11

 https://t.co/D4Kdwwr7eL"
130,"Dica: Como saber no Windows 11 tudo sobre o monitor que está a usar

Como se tem visto, a Microsoft mudou muito no Windows 11, em especial na sua interface e na localização de muitas opções. Tudo continua presente e há até novidades, mas estão em locais … https://t.co/dcxH6ofuzr https://t.co/dypZEp975T"
131,Windows 11: desative ícone do Microsoft Teams para economizar RAM #valeapenaler https://t.co/ywY9JwMfgv
132,"Que monitor está a usar no Windows 11? A Microsoft diz-lhe tudo
https://t.co/FrTPECK1yF https://t.co/1XcHwIL7OS"
133,Media Player começa a chegar para testadores beta no Windows 11 https://t.co/E69t9ndeWQ
134,to ate vendo q vai ser difícil me acostumar com esse Windows 11
135,Windows 11 crashou meu not tudo socoro
136,Google e Microsoft se unem por apps mais bonitos no Windows 11 e 10 https://t.co/E5KDC7IO5Y https://t.co/Iz7phxWrP3
137,Windows Terminal ganha visual do Windows 11 e “rodar como admin” por padrão https://t.co/E5KDC7IO5Y https://t.co/RJFkFyRhrp
138,Microsoft resolveu o problema de velocidade dos SSD no Windows 11 https://t.co/DCUO5wyY05
139,Gostei muito do Windows 11 e agora vou dar uma segunda chance para o Microsoft Edge
140,@YagoRabelo última vez que eu formatei acho que foi em julho ou agosto quando instalei o windows 11
141,maldito windows 11 com seu secure boot bugado
142,Ameeeei a atualização pro Windows 11!
143,era só um notebook i7 10 geração windows 11 home com ssd da vaio ou da dell...
144,Google e Microsoft se unem por apps mais bonitos no Windows 11 e 10 https://t.co/TGed4ywt1b
145,Depois de mais de 10 horas atualizando meu windows 11 veio kk e eu amei o design
146,"Há algum tempo atualizei pro windows 11, no começo tava mil maravilhas... Agora tudo piorou e tentei voltar para o 10. A instalação tá dando b.o e não tô com o mínimo de paciência. Agora tô fazendo uma coisa que há tempos tenho ficado relutante... Migrar totalmente pro Linux."
147,"pq caraleos tudo tem que ser um video hoje em dia

procuro por 'como houvir o microfone windows 11' no google, e me aparece um video... porra, não podia ser um passo-a-passo de 5 linhas?

flando nisso...

pq caraleos o windows vai escondendo as configurações toda atualização?"
148,Atualizando meu Windows pro 11 e com medo de ta fazendo cagada rs
149,Windows Terminal ganha visual do Windows 11 e “rodar como admin” por padrão https://t.co/kYNQBVa0S0
150,"@andiaqosti pode ser provável, o meu pc não atende os requisitos pra ter o windows 11 eu vou esse ano levar numa assistência tecnica para mudar isso.
o seu pc tá forçando a vc baixar a nova versão..
só levando no técnico."
151,@jaolobosx agora eu vi que tem atualização pro Windows 11 será que é isso que tá travando?
152,"windows 11 eh tudoh, menos o iniciar, que eu achei bem preguiçoso, vcs nao tem nocao da alegoria que era meu iniciar no w10 kkk"
153,Eu achando que GTA 6 e Windows 11 era meme kkkkkkkkkkkkkk
154,"vou voltar pro windows 10

motivo: sla, enjoei

windows 11 é legal, mas tipo, acostumei melhor com o 10.

plus, o desempenho do windows 10 é melhor

pelo menos pra usuários de hd que nem eu."
155,Para Windows eu NÃO quero instalar o 11
156,O windows 11 é uma bosta
157,"atualizando meu notebook pro windows 11, que trem que demora pra instalar"
158,O windows 11 sabe do que a gente precisa https://t.co/rhlllJpdy9
159,Deu uma vontade boa de rir aqui da galera que atualizou o PC pro Windows 11
